date,ticker_id,action,price,shares,cash_balance,portfolio_value
2023-12-26,VCYT,BUY,28.54,116.79514132212101,6666.666666666666,10000.0
2023-12-26,TMO,BUY,526.8,6.327512022272844,3333.333333333332,10000.0
2023-12-26,AFRM,BUY,50.04,66.61337596589392,0.0,10000.0
2024-01-03,AFRM,SELL_SL,43.49,66.61337596589392,2897.0157207567268,9260.286566472385
2024-01-03,BSX,BUY,57.6,16.765137272897725,1931.3438138378178,9260.286566472387
2024-01-03,T,BUY,15.53,62.18106290527424,965.6719069189089,9260.286566472387
2024-01-03,TRV,BUY,185.6,5.2029736364165355,0.0,9260.286566472385
2024-01-04,VCYT,SELL_SL,25.54,116.79514132212101,2982.9479093669706,9272.89635215241
2024-01-04,DUK,BUY,91.32,32.66478218754896,0.0,9272.89635215241
2024-01-10,TMO,SELL_MAX_DAYS,540.95,6.327512022272844,3422.867628448495,9363.103298677157
2024-01-12,BSX,SELL_TP,59.94,16.765137272897725,4427.769956585985,9336.158808216154
2024-01-18,T,SELL_MAX_DAYS,15.02,62.18106290527424,5361.729521423204,9266.235608844552
2024-01-18,TRV,SELL_MAX_DAYS,192.44,5.2029736364165355,6362.989768015202,9266.235608844552
2024-01-19,DUK,SELL_MAX_DAYS,88.61,32.66478218754896,9257.416117653915,9257.416117653915
2024-01-31,HII,BUY,248.8,7.441652827696072,7405.9328941231315,9257.416117653915
2024-01-31,JPM,BUY,167.79,11.034526631687127,5554.449670592348,9257.416117653915
2024-01-31,WCN,BUY,153.45,12.065710156603343,3702.9664470615653,9257.416117653913
2024-01-31,AXP,BUY,196.88,9.404120395828844,1851.4832235307824,9257.416117653915
2024-01-31,CSX,BUY,34.79,53.218833674354194,0.0,9257.416117653915
2024-02-07,HII,SELL_TP,264.0,7.441652827696072,1964.596346511763,9546.14663139619
2024-02-07,AXP,SELL_TP,205.06,9.404120395828844,3893.0052748804255,9546.14663139619
2024-02-07,AMAT,BUY,168.22,11.57117249696952,1946.5026374402128,9546.146631396192
2024-02-07,GLBE,BUY,39.59,49.16652279465048,0.0,9546.146631396192
2024-02-09,AMAT,SELL_TP,182.93,11.57117249696952,2116.7145848706346,9826.643421355544
2024-02-09,GLBE,SELL_TP,42.09,49.16652279465048,4186.133529297474,9826.643421355544
2024-02-09,HD,BUY,348.08,6.0131773289150106,2093.066764648737,9826.643421355544
2024-02-09,TGT,BUY,136.3,15.356322557951113,0.0,9826.643421355544
2024-02-14,JPM,SELL_MAX_DAYS,169.4,11.034526631687127,1869.2488114077994,9881.811410704793
2024-02-14,WCN,SELL_TP,162.21,12.065710156603343,3826.427655910428,9881.811410704793
2024-02-14,CSX,SELL_MAX_DAYS,36.06,53.218833674354194,5745.49879820764,9881.811410704793
2024-02-14,DD,BUY,27.32,70.10125424850708,3830.3325321384264,9881.811410704791
2024-02-14,SPR,BUY,29.79,64.28889782038313,1915.166266069213,9881.811410704793
2024-02-14,QCOM,BUY,148.41,12.90456348001626,0.0,9881.811410704793
2024-02-23,TGT,SELL_TP,141.94,15.356322557951113,2179.676423875581,10111.661786460609
2024-02-23,KLAC,BUY,658.77,3.308706261480609,0.0,10111.661786460609
2024-02-26,HD,SELL_MAX_DAYS,356.18,6.0131773289150106,2141.7735010129486,10128.06159816629
2024-02-26,GD,BUY,263.62,8.124472729735789,0.0,10128.06159816629
2024-02-29,DD,SELL_MAX_DAYS,28.09,70.10125424850708,1969.1442318405636,10148.091393639541
2024-02-29,SPR,SELL_MAX_DAYS,28.6,64.28889782038313,3807.8067095035212,10148.091393639541
2024-02-29,QCOM,SELL_MAX_DAYS,152.9,12.90456348001626,5780.914465598007,10148.091393639541
2024-02-29,CL,BUY,83.15,23.17464207495693,3853.9429770653383,10148.091393639541
2024-02-29,CRWD,BUY,324.15,5.944690694223875,1926.9714885326691,10148.091393639541
2024-02-29,UPS,BUY,133.83,14.39865118831853,0.0,10148.091393639541
2024-03-01,KLAC,SELL_TP,706.79,3.308706261480609,2338.5604985518794,10192.740220917925
2024-03-01,PYPL,BUY,60.54,38.62835313101882,0.0,10192.740220917925
2024-03-11,GD,SELL_MAX_DAYS,263.86,8.124472729735789,2143.7233744680852,10325.277097938711
2024-03-11,UPS,SELL_TP,139.68,14.39865118831853,4154.926972452417,10325.277097938711
2024-03-11,PGR,BUY,192.54,10.789776078873007,2077.4634862262087,10325.277097938711
2024-03-11,SMR,BUY,5.48,379.0991763186512,0.0,10325.277097938711
2024-03-12,SMR,SELL_TP,6.27,379.0991763186512,2376.951835517943,10730.786550410498
2024-03-12,BIIB,BUY,227.36,10.45457352004725,0.0,10730.786550410498
2024-03-14,CL,SELL_MAX_DAYS,84.91,23.17464207495693,1967.758858584593,10782.37261966873
2024-03-14,CRWD,SELL_MAX_DAYS,328.59,5.944690694223875,3921.1247737996164,10782.372619668731
2024-03-14,PYPL,SELL_TP,63.0,38.62835313101882,6354.711021053802,10782.372619668731
2024-03-14,PFE,BUY,25.09,84.42554830681284,4236.474014035868,10782.372619668731
2024-03-14,CPAY,BUY,295.9,7.1586245590332345,2118.237007017934,10782.372619668731
2024-03-14,EMN,BUY,86.18,24.57921799742323,0.0,10782.372619668731
2024-03-15,PGR,SELL_TP,200.51,10.789776078873007,2163.4580015748265,10820.06455025003
2024-03-15,DD,BUY,29.81,72.57490780190629,0.0,10820.06455025003
2024-03-21,EMN,SELL_TP,90.2,24.57921799742323,2217.0454633675754,11008.861424601546
2024-03-21,HII,BUY,283.73,7.813926843716122,0.0,11008.861424601546
2024-03-26,BIIB,SELL_MAX_DAYS,212.02,10.45457352004725,2216.578677720418,10884.089132342486
2024-03-27,DD,SELL_TP,31.06,72.57490780190629,4470.7553140476275,10935.400575285246
2024-03-28,PFE,SELL_MAX_DAYS,24.75,84.42554830681284,6560.287634641245,10967.457973564891
2024-03-28,CPAY,SELL_TP,308.54,7.1586245590332345,8769.00965608536,10967.457973564891
2024-03-28,AZN,BUY,65.93,33.25121210407007,6576.75724206402,10967.457973564891
2024-03-28,LYB,BUY,91.71,23.904180722073274,4384.50482804268,10967.457973564891
2024-03-28,HLT,BUY,212.51,10.31599648967738,2192.25241402134,10967.457973564891
2024-03-28,XYZ,BUY,84.58,25.919276590462758,0.0,10967.457973564891
2024-04-04,XYZ,SELL_SL,74.73,25.919276590462758,1936.947539605282,10658.153825109517
2024-04-05,HII,SELL_MAX_DAYS,276.15,7.813926843716122,4094.7634374974887,10698.814438520392
2024-04-12,AZN,SELL_MAX_DAYS,67.08,33.25121210407007,6325.254745438509,10609.35892111184
